Year,Team,Conf_x,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD,Conf_y,BPI(O),BPI(D),W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,PASE
2008,Villanova,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,Big East,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.2173684210526316
2008,Syracuse,BE,14.12,112.6,98.4,69.9,7.96,107.8,99.9,Big East,10.1,-0.6,21.0,14.0,79.0,74.3,4.69,7.96,12.91,-0.27,12.65,0.3881578947368421
2008,UNLV,MWC,13.71,110.2,96.5,63.9,3.1,104.3,101.2,Mountain West,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,0.0741228070175438
2008,Arizona St.,P10,13.62,110.2,96.6,61.2,6.79,107.4,100.6,Pac-12,0.5,6.7,21.0,13.0,66.8,61.9,4.85,6.28,1.51,8.8,10.31,0.243421052631579
2008,Mississippi,SEC,13.49,114.2,100.7,69.3,5.66,106.7,101.0,SEC,10.1,-0.7,24.0,11.0,79.5,72.9,6.54,5.88,13.28,-0.99,12.29,-0.2467105263157895
2008,Illinois,B10,13.47,107.5,94.0,61.0,9.61,108.4,98.8,Big Ten,-0.7,8.8,16.0,19.0,63.6,61.1,2.51,8.46,0.25,10.73,10.98,-0.3028947368421052
2008,Massachusetts,A10,13.1,110.5,97.3,74.6,5.26,107.3,102.0,A 10,11.3,-3.5,25.0,11.0,81.5,75.7,5.83,3.77,14.43,-4.83,9.6,-0.3675986842105262
2008,Georgia Tech,ACC,13.1,114.5,101.4,68.6,11.47,109.5,98.0,ACC,9.8,-0.5,15.0,17.0,77.6,76.0,1.56,9.57,11.45,-0.69,10.77,0.170641447368421
2008,Missouri,B12,13.04,113.3,100.2,69.3,8.57,107.1,98.6,Big 12,10.1,-1.0,16.0,16.0,77.1,72.3,4.88,6.87,12.35,-0.6,11.75,-0.3546650717703349
2008,Kent St.,MAC,13.04,107.8,94.8,65.1,1.03,103.5,102.5,MAC,1.8,5.8,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,0.1466165413533835
2008,Vanderbilt,SEC,12.65,112.3,99.6,68.2,5.2,107.4,102.2,SEC,10.0,-1.6,26.0,8.0,80.0,74.6,5.41,5.54,12.11,-1.16,10.96,-0.2768640350877193
2008,Temple,A10,12.37,112.8,100.4,63.6,6.08,107.4,101.3,A 10,4.7,2.3,21.0,13.0,72.3,68.7,3.59,4.57,5.05,3.11,8.16,0.0291762013729977
2008,Illinois St.,MVC,12.37,106.2,93.9,62.5,4.12,106.5,102.4,MVC,-1.6,8.5,25.0,10.0,65.3,59.3,6.0,3.44,-0.93,9.58,8.64,0.0115131578947368
2008,Florida St.,ACC,12.26,108.7,96.4,64.8,8.51,108.4,99.9,ACC,4.4,3.9,19.0,15.0,72.1,69.0,3.09,7.31,5.32,5.08,10.4,0.1170112781954887
2008,Dayton,A10,12.08,111.8,99.7,61.6,5.31,106.5,101.2,A 10,2.2,4.9,23.0,11.0,68.1,64.2,3.91,4.06,2.39,5.59,7.98,-0.0480263157894736
2008,UAB,CUSA,12.07,110.7,98.6,66.8,2.74,104.3,101.6,C-USA,5.0,1.9,23.0,11.0,73.6,67.3,6.26,2.09,6.53,1.83,8.35,-0.0891148325358851
2008,Southern Illinois,MVC,12.04,105.7,93.7,61.1,7.38,107.4,100.0,MVC,-2.6,8.6,18.0,15.0,62.6,59.7,2.85,5.88,-2.16,10.89,8.73,-0.1396198830409357
2008,Maryland,ACC,11.99,107.1,95.1,69.9,7.39,106.6,99.2,ACC,5.9,2.4,19.0,15.0,73.0,69.8,3.24,7.28,7.34,2.4,9.74,0.1290045766590389
2008,Utah,MWC,11.94,110.2,98.3,62.9,5.24,106.0,100.8,Mountain West,1.5,4.2,18.0,15.0,68.5,63.8,4.79,3.89,1.39,5.96,7.35,0.1813322368421052
2008,South Alabama,SB,11.8,112.6,100.8,64.8,-2.07,103.1,105.2,Sun Belt,4.0,2.1,26.0,7.0,75.1,65.4,9.7,-1.21,5.46,2.3,7.76,-0.2324561403508771
2008,IUPUI,Sum,11.68,116.5,104.8,60.9,-3.0,102.9,105.9,Summit,3.8,2.1,26.0,7.0,76.1,64.6,11.45,-2.41,3.48,1.65,5.13,-0.006578947368421
2008,California,P10,11.51,115.8,104.3,67.8,10.85,109.2,98.4,Pac-12,9.6,-2.7,17.0,16.0,76.4,75.1,1.3,8.45,12.29,-2.93,9.36,-0.1649797570850202
2008,VCU,CAA,11.45,104.7,93.2,63.6,-1.67,102.4,104.0,CAA,0.4,8.6,24.0,8.0,67.4,58.8,8.63,-2.06,-1.83,8.39,6.57,-0.1026315789473684
2008,Washington,P10,11.36,109.7,98.4,68.6,9.1,108.7,99.6,Pac-12,6.6,0.3,16.0,17.0,73.2,70.8,2.36,8.0,8.1,1.0,9.09,-0.0663875598086124
2008,Minnesota,B10,11.34,108.4,97.1,65.1,5.28,105.5,100.2,Big Ten,3.2,4.4,20.0,14.0,68.3,63.2,5.06,6.5,3.72,6.56,10.27,0.018640350877193
2008,Houston,CUSA,11.28,114.2,102.9,69.1,-0.9,102.2,103.1,C-USA,8.4,-1.7,24.0,10.0,78.9,70.3,8.56,-0.16,10.19,-1.8,8.4,-0.1659356725146198
2008,Rhode Island,A10,11.2,115.1,103.9,69.6,3.5,105.7,102.2,A 10,11.0,-3.1,21.0,12.0,80.5,74.4,6.12,2.29,12.41,-4.0,8.42,0.481203007518797
2008,Wake Forest,ACC,10.82,107.7,96.9,68.8,6.85,106.2,99.3,ACC,4.5,2.5,17.0,13.0,72.2,69.4,2.83,8.83,7.28,2.01,9.29,-0.3618421052631578
2008,Creighton,MVC,10.8,108.7,97.9,65.5,5.22,106.1,100.8,MVC,4.2,2.1,22.0,11.0,71.5,66.0,5.55,4.45,4.85,3.21,8.06,-0.2422600619195046
2008,Oklahoma St.,B12,10.78,109.1,98.4,64.2,9.94,108.6,98.6,Big 12,0.8,4.1,17.0,16.0,68.4,66.5,1.94,7.67,2.99,6.4,9.39,-0.0118421052631578
2008,Akron,MAC,10.48,110.9,100.4,62.8,0.39,103.0,102.6,MAC,2.9,3.7,24.0,11.0,70.8,63.8,7.03,0.33,1.88,4.36,6.24,-0.2355263157894736
2008,Oral Roberts,Sum,10.27,104.7,94.5,63.6,-0.01,105.4,105.4,Summit,-0.9,6.5,24.0,9.0,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71,0.1986842105263158
2008,Kentucky,SEC,10.01,107.8,97.8,62.4,6.74,107.4,100.7,SEC,1.0,6.4,18.0,13.0,68.5,65.6,2.9,7.09,1.44,7.75,9.19,0.4377055921052632
2008,Duquesne,A10,9.97,108.9,99.0,73.4,1.74,105.0,103.2,A 10,11.1,-3.7,17.0,13.0,82.3,74.1,8.23,1.85,13.47,-4.51,8.96,
2008,George Mason,CAA,9.68,110.7,101.0,61.6,-0.57,102.6,103.2,CAA,2.0,4.8,23.0,11.0,69.3,62.5,6.82,-0.75,0.96,5.11,6.07,0.4583333333333334
2008,Miami OH,MAC,9.63,108.4,98.7,58.0,6.42,106.4,100.0,MAC,-3.2,8.1,17.0,16.0,62.5,60.6,1.91,3.82,-3.85,9.58,5.73,0.018796992481203
2008,Tulsa,CUSA,9.63,106.2,96.6,64.6,1.24,104.2,103.0,C-USA,1.5,3.6,25.0,14.0,70.4,65.2,5.23,2.97,1.87,5.41,7.28,0.2527412280701754
2008,Texas Tech,B12,9.6,107.7,98.1,67.6,9.4,108.5,99.1,Big 12,2.3,2.6,16.0,15.0,69.9,69.3,0.61,7.62,4.52,2.83,7.35,0.1548582995951417
2008,Charlotte,A10,9.53,104.6,95.1,66.8,5.77,107.1,101.4,A 10,2.2,3.8,20.0,14.0,69.6,67.4,2.21,4.34,2.08,4.47,6.54,-0.3269736842105263
2008,Providence,BE,9.4,110.1,100.8,66.3,9.2,109.1,99.9,Big East,5.0,0.9,15.0,16.0,72.7,72.2,0.52,7.86,6.76,1.62,8.38,-0.0055668016194331
2008,Alabama,SEC,9.2,110.9,101.7,66.7,5.7,107.2,101.5,SEC,6.5,-0.5,17.0,16.0,75.3,72.8,2.42,5.7,8.19,-0.07,8.12,-0.126731301939058
2008,Bradley,MVC,9.05,111.8,102.7,68.5,5.32,105.6,100.3,MVC,7.3,-3.3,21.0,17.0,73.8,71.7,2.13,4.25,8.86,-2.64,6.23,0.1026315789473684
2008,Cal St. Fullerton,BW,8.47,112.3,103.9,71.6,-3.95,101.5,105.5,Big West,9.6,-4.9,24.0,9.0,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64,-0.1140350877192982
2008,Missouri St.,MVC,8.39,108.2,99.8,65.1,4.86,105.8,100.9,MVC,1.2,2.8,17.0,16.0,67.8,65.0,2.73,3.43,2.26,3.39,5.65,0.1271929824561403
2008,Virginia,ACC,8.11,110.5,102.4,68.4,6.21,106.8,100.6,ACC,7.8,-1.4,17.0,16.0,76.8,74.8,1.97,5.63,9.32,-1.72,7.6,-0.4263157894736841
2008,Georgia,SEC,8.08,104.3,96.2,64.7,7.55,108.5,101.0,SEC,0.4,4.9,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,-0.506578947368421
2008,San Diego St.,MWC,7.99,104.9,96.9,64.1,3.21,104.5,101.2,Mountain West,-0.7,4.9,20.0,13.0,66.8,63.3,3.45,2.15,-0.3,5.51,5.21,-0.3989661654135338
2008,Siena,MAAC,7.99,108.6,100.7,67.6,-1.41,104.1,105.5,MAAC,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.4210526315789474
2008,Western Michigan,MAC,7.92,108.1,100.2,63.8,0.6,103.7,103.1,MAC,2.5,1.9,20.0,12.0,69.7,65.0,4.72,-0.51,1.31,1.89,3.2,-0.1447368421052631
2008,Ohio,MAC,7.55,109.7,102.1,63.2,2.4,104.3,101.9,MAC,1.0,3.2,20.0,13.0,67.7,65.1,2.64,1.3,0.44,3.5,3.94,0.4078947368421053
2008,Stephen F. Austin,Slnd,7.53,107.6,100.1,57.6,-5.9,98.6,104.5,WAC,-4.9,9.8,26.0,6.0,67.2,56.4,10.81,-6.17,-7.16,8.59,1.42,0.1026315789473684
2008,UCF,CUSA,7.11,109.1,102.0,64.1,1.2,103.8,102.6,C-USA,3.9,0.0,16.0,15.0,73.2,69.0,4.19,3.16,4.8,0.81,5.61,0.031578947368421
2008,Southern Miss,CUSA,6.98,108.3,101.3,63.3,3.04,105.1,102.1,C-USA,2.0,1.9,19.0,14.0,72.4,66.7,5.64,1.81,0.91,2.86,3.77,-0.4868421052631579
2008,UNC Greensboro,SC,6.96,108.1,101.2,64.6,0.04,104.1,104.1,Southern,1.9,2.4,19.0,12.0,70.8,66.5,4.29,-1.41,-0.15,2.12,1.97,-0.1463815789473683
2008,New Mexico St.,WAC,6.85,108.1,101.3,69.7,-2.2,103.5,105.7,WAC,7.2,-2.9,21.0,14.0,79.8,72.2,7.57,-1.31,7.89,-2.46,5.43,-0.1920230263157895
2008,Nevada,WAC,6.59,108.5,101.9,67.2,0.09,104.8,104.7,WAC,3.9,-1.4,21.0,12.0,75.4,70.6,4.79,-0.11,4.41,-0.49,3.92,0.0542763157894737
2008,Cincinnati,BE,6.58,104.8,98.2,63.5,9.65,109.0,99.3,Big East,-0.8,3.6,13.0,19.0,64.6,67.8,-3.16,8.51,-0.43,5.29,4.86,-0.2780320366132722
2008,Cleveland St.,Horz,6.58,103.3,96.7,64.7,3.23,105.5,102.3,Horizon,-1.1,3.6,21.0,13.0,67.1,63.6,3.53,1.69,-1.46,4.83,3.38,0.8355263157894738
2008,Winthrop,BSth,6.38,99.5,93.1,61.6,-1.01,105.1,106.1,Big South,-4.7,10.5,22.0,12.0,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61,-0.1169590643274853
2008,Boston College,ACC,6.37,108.9,102.6,64.2,7.87,107.9,100.0,ACC,2.7,1.6,14.0,17.0,71.1,72.4,-1.29,7.75,3.31,3.15,6.46,0.1710526315789473
2008,South Carolina,SEC,6.1,109.1,103.0,64.7,6.41,108.0,101.6,SEC,4.0,1.2,14.0,18.0,72.3,71.1,1.19,6.11,4.52,2.78,7.3,-0.4131578947368421
2008,Seton Hall,BE,6.0,110.5,104.5,69.2,5.69,106.5,100.8,Big East,8.5,-5.1,17.0,15.0,76.6,77.3,-0.63,5.47,10.56,-5.72,4.84,0.1311090225563911
2008,UTEP,CUSA,5.74,106.7,100.9,70.9,1.46,103.6,102.2,C-USA,6.5,-3.1,19.0,14.0,76.6,73.2,3.39,1.54,8.62,-3.83,4.79,-0.1177631578947368
2008,Utah St.,WAC,5.7,114.6,108.9,62.9,-3.25,101.8,105.0,WAC,2.8,-0.8,24.0,11.0,73.9,68.1,5.71,-2.58,2.31,-0.6,1.71,-0.4008097165991903
2008,North Carolina St.,ACC,5.65,107.6,101.9,62.7,9.18,108.6,99.4,ACC,1.1,3.2,15.0,16.0,67.3,69.7,-2.39,9.06,1.35,4.05,5.41,0.2023993808049536
2008,South Florida,BE,5.41,107.4,102.0,63.4,6.71,106.7,100.0,Big East,1.4,1.9,12.0,19.0,68.8,68.9,-0.1,6.57,1.25,3.92,5.17,0.2543859649122807
2008,Portland St.,BSky,5.4,108.6,103.2,66.3,-3.5,102.7,106.2,Big Sky,3.8,-0.9,23.0,10.0,73.9,68.0,5.85,-3.01,4.11,-2.38,1.72,-0.1249999999999999
2008,Illinois Chicago,Horz,5.34,104.8,99.5,65.7,2.2,104.0,101.8,Horizon,1.3,1.3,18.0,15.0,68.1,64.9,3.12,0.64,1.45,1.59,3.04,-0.3048245614035088
2008,DePaul,BE,5.28,111.8,106.6,65.7,9.36,108.6,99.3,Big East,5.8,-2.4,11.0,19.0,72.6,75.8,-3.2,8.73,6.25,-1.94,4.31,-0.0694444444444444
2008,LSU,SEC,5.2,104.9,99.7,65.6,6.41,106.9,100.4,SEC,1.6,1.5,13.0,18.0,68.7,69.2,-0.45,5.66,1.94,3.05,4.99,0.1103801169590643
2008,Wright St.,Horz,5.04,104.0,98.9,59.7,0.47,104.4,103.9,Horizon,-4.4,7.1,21.0,10.0,62.7,60.4,2.35,0.48,-5.18,7.56,2.38,0.1677631578947369
2008,UC Santa Barbara,BW,4.93,102.3,97.3,65.2,-3.76,102.4,106.1,Big West,0.3,3.9,23.0,9.0,69.8,64.5,5.28,-3.16,-2.21,3.39,1.17,-0.1701127819548871
2008,Old Dominion,CAA,4.9,106.5,101.6,63.0,0.83,102.8,102.0,CAA,-0.1,4.4,18.0,16.0,66.6,64.4,2.18,0.28,-0.96,3.41,2.45,-0.0999999999999999
2008,Valparaiso,Horz,4.7,107.9,103.2,65.7,2.15,104.3,102.1,Horizon,2.6,0.4,22.0,14.0,71.1,67.9,3.17,1.29,2.89,-0.54,2.35,0.0285087719298245
2008,San Diego,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,WCC,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,-0.0219298245614034
2008,Northern Iowa,MVC,4.62,105.9,101.3,59.2,3.86,104.9,101.0,MVC,-4.2,6.7,18.0,14.0,62.4,60.3,2.03,3.61,-4.21,8.49,4.28,0.078125
2008,Rider,MAAC,4.62,108.2,103.6,68.7,-3.33,101.7,105.1,MAAC,5.5,-3.0,23.0,11.0,76.8,70.6,6.18,-3.72,5.8,-3.94,1.86,-0.0493421052631578
2008,Cornell,Ivy,4.41,110.1,105.7,67.9,-6.93,99.1,106.0,Ivy,6.2,-2.5,22.0,6.0,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76,0.2927631578947369
2008,Iowa St.,B12,4.38,101.7,97.4,64.1,8.14,107.5,99.3,Big 12,-2.2,3.9,14.0,18.0,64.0,65.6,-1.63,7.97,-0.98,4.95,3.97,-0.0864661654135337
2008,Colorado,B12,4.29,104.7,100.4,60.9,8.94,107.5,98.6,Big 12,-4.5,4.4,12.0,20.0,62.4,64.4,-2.0,6.76,-3.29,7.35,4.05,-0.2734962406015037
2008,Boise St.,WAC,3.89,108.7,104.8,70.7,-2.64,103.3,105.9,WAC,8.3,-6.1,25.0,9.0,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6,-0.3223684210526314
2008,UMBC,AE,3.86,113.2,109.3,63.7,-4.31,100.7,105.0,Am. East,4.5,-2.2,24.0,9.0,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06,0.4506578947368421
2008,Georgia Southern,SC,3.82,106.0,102.2,69.0,-0.34,104.1,104.4,Southern,3.3,-2.4,20.0,12.0,75.0,71.4,3.56,-2.17,3.96,-4.04,-0.07,-0.0921052631578947
2008,Belmont,ASun,3.53,109.7,106.2,68.6,-5.21,100.9,106.1,ASUN,6.8,-4.2,25.0,9.0,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12,-0.1307565789473684
2008,Penn St.,B10,3.48,107.7,104.2,63.5,6.66,106.2,99.6,Big Ten,0.6,1.6,15.0,16.0,65.1,66.7,-1.55,6.12,1.74,2.83,4.57,-0.0842105263157894
2008,Cal St. Northridge,BW,3.43,102.2,98.7,72.2,-3.53,102.5,106.0,Big West,4.5,-1.5,20.0,10.0,78.0,71.1,6.93,-2.81,5.94,-4.71,1.23,-0.1677631578947368
2008,Indiana St.,MVC,3.2,105.9,102.7,64.3,6.27,106.9,100.6,MVC,-0.3,1.6,15.0,16.0,65.1,66.6,-1.48,4.11,-0.04,1.52,1.48,0.0307017543859649
2008,North Texas,SB,3.11,105.9,102.8,68.0,-3.74,102.8,106.6,Sun Belt,3.7,-2.3,20.0,11.0,76.9,70.5,6.48,-2.72,4.08,-2.54,1.53,0.1200657894736842
2008,Brown,Ivy,3.07,108.9,105.8,61.1,-4.49,102.1,106.6,Ivy,-0.6,3.3,19.0,10.0,68.9,64.9,4.0,-4.65,-2.71,2.06,-0.65,-0.0921052631578947
2008,Niagara,MAAC,2.92,106.7,103.7,69.9,-2.32,102.8,105.1,MAAC,5.0,-3.9,19.0,10.0,76.5,73.1,3.45,-3.61,5.37,-5.53,-0.16,0.4177631578947369
2008,North Dakota St.,Sum,2.88,107.0,104.1,67.0,-2.23,103.5,105.8,Summit,6.1,-2.9,,,,,,,,,,0.3092105263157895
2008,Michigan,B10,2.7,104.4,101.7,64.1,9.46,107.9,98.5,Big Ten,-1.4,2.1,10.0,22.0,62.7,67.6,-4.94,7.99,-0.12,3.18,3.05,0.5723684210526315
2008,Sam Houston St.,Slnd,2.7,96.5,93.8,67.6,-5.37,99.5,104.9,WAC,-1.3,3.9,23.0,8.0,70.7,61.6,9.13,-5.25,-2.82,2.57,-0.25,-0.1249999999999999
