Year,Team,Adj OE,Adj DE,Barthag,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
2008,Stanford,112.796,89.829,0.932,28.0,36.0,49.8,44.3,39.6,32.8,18.8,17.7,39.1,29.2,64.4,48.0,42.1,36.6,33.3,13.0,6.1,58.3,45.7,27.1,28.3,65.145,78.338,82.346,1.859,64.912,69.4,66.4,1.086,0.943,34.216
2008,Marquette,114.135,91.091,0.93,24.0,34.0,50.6,46.3,37.5,41.0,18.7,23.9,38.2,33.4,68.8,49.0,46.7,35.8,30.4,10.2,9.1,56.4,54.7,33.6,31.1,68.568,75.845,79.778,1.839,55.941,70.5,67.9,1.097,0.936,32.597
2008,Clemson,113.184,90.395,0.93,23.0,33.0,51.9,48.1,30.6,33.8,20.3,24.6,39.8,36.4,70.9,49.7,49.0,37.5,30.4,13.3,8.4,53.3,48.5,33.3,28.6,69.596,77.279,79.903,1.663,48.799,62.2,71.7,1.088,0.961,32.822
2008,Tennessee,114.604,91.639,0.929,30.0,35.0,52.4,49.1,38.0,39.6,18.2,24.7,36.2,34.6,72.8,51.5,50.3,35.8,31.2,8.9,10.9,61.1,55.0,38.9,35.9,72.817,76.574,79.866,1.716,57.614,65.7,67.4,1.113,0.968,32.68
2008,Davidson,114.67,91.73,0.929,28.0,35.0,54.1,49.3,26.3,37.3,17.3,24.3,32.4,28.5,68.1,54.1,47.0,36.1,35.5,9.3,7.0,59.1,51.6,40.6,37.8,68.439,77.371,79.794,1.996,18.502,72.6,63.5,1.125,0.93,23.532
2008,Michigan St.,114.696,92.673,0.921,27.0,36.0,52.6,46.0,33.5,33.1,21.1,18.9,39.5,31.6,64.6,51.6,45.6,37.1,31.1,12.3,9.8,66.5,56.1,24.4,37.2,65.325,77.042,81.197,1.61,87.079,73.7,67.1,1.102,0.969,32.964
2008,Xavier,115.514,93.352,0.921,30.0,37.0,54.6,47.1,42.4,31.4,19.8,19.6,35.8,30.1,65.5,52.2,45.2,39.1,33.6,9.7,11.1,60.3,58.8,36.5,36.5,65.753,76.611,80.209,2.038,13.33,74.9,67.7,1.144,0.966,26.372
2008,Texas A&M,112.124,91.137,0.916,24.0,35.0,52.0,44.9,41.8,26.7,19.2,17.4,35.0,28.1,64.4,51.2,42.2,35.7,33.8,10.2,10.1,53.4,48.8,30.1,31.2,63.8,78.021,80.885,1.611,61.214,63.4,66.1,1.073,0.939,32.765
2008,West Virginia,113.807,92.686,0.914,25.0,36.0,51.4,48.0,36.6,39.7,16.4,22.8,34.4,31.2,66.2,50.1,45.2,36.0,35.8,14.4,6.8,58.2,51.7,33.9,32.4,65.621,78.073,80.078,1.679,46.742,68.7,65.5,1.113,0.952,31.807
2008,Kansas St.,114.51,93.471,0.912,20.0,32.0,49.5,48.3,37.4,38.3,20.8,22.2,42.3,30.3,71.7,50.2,44.9,32.0,37.2,8.9,8.3,55.4,56.2,32.2,31.5,71.828,77.238,80.586,1.161,40.016,69.3,65.6,1.08,0.955,33.149
2008,Drake,119.278,97.734,0.908,26.0,31.0,52.6,50.4,35.2,23.9,18.0,24.1,36.7,33.1,63.5,50.5,49.5,36.7,34.5,7.6,10.5,59.6,56.4,46.1,39.4,64.443,75.719,79.587,2.241,2.519,76.8,67.1,1.142,0.974,22.206
2008,Purdue,110.076,90.51,0.905,25.0,34.0,49.1,49.1,37.1,42.6,19.1,26.0,33.1,30.9,66.6,45.3,47.6,37.3,34.8,12.8,9.1,56.0,55.2,35.7,31.5,68.458,77.694,80.62,0.848,66.368,71.2,67.0,1.038,0.931,30.011
2008,Pittsburgh,116.223,95.865,0.902,26.0,36.0,50.8,47.9,36.1,28.6,18.2,20.9,39.3,33.9,65.5,50.8,46.8,33.8,33.4,9.2,8.0,57.3,52.9,30.4,34.4,65.295,75.961,78.824,1.727,65.161,66.5,69.4,1.106,0.988,33.492
2008,Connecticut,114.878,94.969,0.899,24.0,33.0,50.6,44.2,48.1,23.5,19.4,17.3,39.5,34.2,69.8,49.5,40.5,36.1,34.8,19.3,8.2,56.2,52.3,24.7,32.0,69.029,78.462,83.02,1.417,85.537,72.0,68.0,1.102,0.977,29.383
2008,Arizona,115.467,95.463,0.899,18.0,33.0,53.9,48.7,40.4,30.4,18.6,19.0,27.8,33.4,64.9,51.2,47.5,39.6,34.5,8.8,7.8,61.9,52.8,32.1,28.2,65.299,77.029,80.331,1.403,85.102,74.5,70.5,1.087,1.021,39.743
2008,Gonzaga,112.64,93.328,0.897,25.0,33.0,54.5,45.7,39.7,32.1,20.7,21.6,34.6,29.7,68.4,53.7,43.8,37.5,32.7,13.0,9.0,53.7,51.1,31.9,37.2,68.355,78.557,81.738,1.584,73.8,71.2,64.8,1.102,0.92,22.704
2008,Notre Dame,114.634,95.083,0.896,25.0,33.0,52.2,46.6,34.0,23.0,18.3,17.5,36.2,30.7,70.8,47.8,44.8,40.5,33.5,8.8,9.1,66.5,57.0,33.6,33.2,70.549,77.364,81.067,1.735,80.171,73.8,64.5,1.113,0.98,29.443
2008,Butler,114.239,94.85,0.895,30.0,34.0,54.1,48.0,36.7,32.6,16.9,22.9,29.8,32.2,60.5,51.3,48.2,38.0,31.8,7.2,9.3,57.3,45.4,48.5,31.7,61.214,75.775,79.139,2.186,11.348,73.7,66.5,1.124,0.954,18.042
2008,USC,109.398,90.84,0.895,21.0,33.0,53.3,44.8,38.7,27.9,21.9,20.0,31.1,35.0,65.9,51.5,44.1,38.7,30.7,11.5,7.3,49.9,48.4,27.8,34.7,67.383,77.758,80.623,0.639,65.854,68.5,68.5,1.035,0.955,37.287
2008,Indiana,114.083,94.893,0.893,25.0,33.0,52.3,47.3,41.9,31.0,20.0,19.8,36.1,29.1,67.3,52.3,45.1,34.9,34.1,10.3,8.0,52.0,56.1,34.9,35.7,68.445,77.392,80.08,1.587,52.71,75.9,65.0,1.104,0.961,28.373
2008,New Mexico,109.584,91.583,0.887,24.0,33.0,54.1,47.8,40.2,41.3,18.1,24.0,31.1,27.4,66.0,49.2,45.7,42.0,33.9,8.8,6.7,63.4,63.5,35.6,40.0,66.156,76.735,80.044,1.88,26.569,65.9,68.3,1.097,0.928,18.856
2008,Ohio St.,108.618,91.04,0.884,24.0,37.0,52.5,45.4,28.2,22.1,20.4,21.4,33.3,35.6,65.3,53.6,43.6,33.7,32.0,14.4,6.4,57.2,61.0,36.5,40.4,65.852,78.523,81.487,1.375,74.588,68.7,68.0,1.053,0.949,31.183
2008,Virginia Tech,105.366,88.506,0.881,21.0,35.0,48.8,46.5,39.0,33.7,20.9,21.5,34.6,29.0,68.5,48.0,44.1,33.7,34.1,13.0,10.8,53.9,53.1,28.8,33.7,67.588,77.235,79.456,1.028,44.947,68.1,68.0,1.011,0.932,28.24
2008,Mississippi St.,107.764,91.103,0.873,23.0,34.0,52.2,42.5,39.0,28.0,21.4,17.8,34.7,32.7,69.1,53.3,39.8,33.4,31.7,19.3,9.4,50.6,50.5,36.6,35.1,68.545,77.328,80.262,1.332,69.445,64.6,68.4,1.049,0.939,26.002
2008,BYU,105.934,89.966,0.867,27.0,35.0,53.2,43.2,37.3,30.5,19.5,19.1,30.6,26.4,69.9,51.6,42.8,37.3,29.5,9.6,6.0,65.3,46.9,38.8,29.7,70.17,77.758,81.128,1.659,34.988,65.3,70.5,1.051,0.901,21.985
2008,Nebraska,107.09,91.128,0.865,20.0,33.0,51.2,47.3,38.6,32.0,20.6,23.9,32.1,30.0,64.0,51.1,42.6,34.2,36.4,9.2,9.0,60.1,55.7,32.1,39.1,63.156,75.063,79.654,1.497,23.932,66.6,70.3,1.032,0.933,30.791
2008,Miami FL,111.547,95.122,0.862,22.0,33.0,49.2,47.0,39.2,35.4,19.0,20.6,35.1,34.0,68.6,45.7,43.7,37.9,35.6,12.1,10.3,51.1,49.4,31.0,34.1,67.708,77.031,80.051,1.832,42.138,75.2,66.8,1.07,0.987,30.218
2008,Arkansas,110.791,94.541,0.861,23.0,35.0,51.9,48.4,37.9,35.6,21.8,21.2,37.6,31.9,69.4,52.3,47.4,34.1,33.5,14.1,9.9,54.0,52.9,30.3,34.6,68.57,77.418,81.732,2.232,59.525,67.8,69.7,1.064,0.981,27.962
2008,Florida,115.303,98.875,0.854,24.0,36.0,55.3,50.0,31.2,29.1,18.6,19.8,35.6,30.0,67.6,55.7,49.5,36.3,34.0,8.1,8.1,61.1,52.3,35.5,33.1,66.536,77.091,80.709,0.619,87.222,70.1,65.9,1.144,0.997,23.042
2008,Baylor,115.908,99.62,0.851,20.0,31.0,51.9,48.3,35.9,39.5,17.2,19.4,32.0,32.9,70.9,49.6,46.5,37.3,35.1,10.2,9.9,42.7,47.1,36.5,29.9,71.653,76.527,81.574,1.742,52.034,74.1,70.6,1.103,1.025,30.479
2008,Oregon,118.033,101.531,0.85,18.0,32.0,55.8,50.3,36.7,34.3,18.4,16.4,32.0,31.0,67.3,53.8,50.4,39.2,33.4,6.7,10.0,55.4,53.3,39.8,35.3,68.024,76.175,79.668,1.946,72.871,69.4,69.1,1.124,1.065,35.863
2008,Illinois,106.048,91.274,0.849,16.0,35.0,48.8,45.8,36.5,37.2,21.5,20.3,37.0,29.9,62.4,49.2,43.3,31.9,33.5,8.1,8.9,59.6,52.8,33.0,35.5,63.324,77.732,81.276,1.712,66.285,60.8,72.0,1.002,0.962,33.407
2008,Syracuse,111.815,96.572,0.844,21.0,35.0,52.7,49.2,42.0,29.5,21.8,20.0,39.0,32.6,72.9,53.3,46.8,34.1,35.4,15.8,8.2,58.0,61.9,26.9,39.1,71.95,78.016,81.88,0.794,84.573,66.8,69.6,1.081,1.017,28.286
2008,UNLV,108.847,94.019,0.843,26.0,34.0,48.6,46.3,33.3,32.4,16.2,21.6,29.1,32.3,66.2,47.8,47.0,33.2,30.1,8.7,8.4,61.4,53.8,39.8,36.6,66.24,76.523,78.859,1.999,18.883,74.8,66.7,1.047,0.939,22.955
2008,Saint Mary's,107.405,93.028,0.839,24.0,31.0,52.4,44.8,39.0,30.7,18.9,20.9,35.5,31.4,68.6,51.6,44.1,35.8,31.3,12.1,10.3,55.3,38.6,38.0,25.9,68.369,77.097,80.766,1.76,18.126,66.3,69.1,1.088,0.921,18.353
2008,Villanova,107.856,93.494,0.838,22.0,35.0,49.1,51.1,38.9,46.4,20.5,23.6,36.2,31.0,69.4,47.8,48.6,34.4,36.5,9.1,12.3,53.7,57.6,34.9,40.9,69.425,77.261,80.258,0.994,61.386,72.7,68.4,1.049,1.001,31.721
2008,Oklahoma,107.446,93.302,0.835,23.0,35.0,50.1,47.0,38.7,30.3,19.7,20.2,33.4,30.2,64.8,49.0,46.0,34.8,32.6,10.7,9.0,52.5,46.9,33.6,34.7,65.124,77.981,81.253,1.669,63.704,68.1,72.7,1.038,0.975,34.378
2008,Western Kentucky,109.649,95.625,0.828,27.0,34.0,53.6,47.2,36.0,48.8,20.2,24.9,36.7,33.4,69.4,51.1,46.2,39.0,32.9,10.6,7.1,46.1,53.0,32.7,32.2,69.64,76.545,79.573,2.066,16.148,70.8,70.3,1.104,0.954,17.124
2008,Saint Joseph's,113.772,99.278,0.827,21.0,34.0,54.6,50.6,39.7,33.3,19.3,21.5,32.5,34.0,65.2,52.8,47.7,38.6,37.0,13.3,10.0,58.4,60.6,35.6,37.6,65.359,78.503,81.31,1.974,34.745,72.6,68.5,1.112,1.026,24.33
2008,Missouri,111.334,97.172,0.827,16.0,32.0,50.7,48.8,30.8,42.9,17.7,23.1,31.5,34.9,72.1,51.0,49.8,33.4,30.9,7.8,8.2,57.4,48.7,31.9,31.2,72.507,77.163,80.091,2.171,47.452,69.0,71.0,1.059,0.992,32.693
2008,Mississippi,112.996,98.799,0.824,24.0,35.0,52.0,49.5,30.0,34.3,18.6,19.6,39.1,31.1,71.5,50.4,48.2,36.7,34.4,8.8,9.9,54.0,55.6,33.0,36.2,71.273,76.852,80.431,1.466,48.726,65.1,66.9,1.104,1.013,25.291
2008,Georgia Tech,113.241,99.049,0.823,15.0,32.0,52.9,51.2,38.3,48.7,21.1,22.4,34.1,35.5,72.1,51.5,51.5,37.2,33.8,9.8,8.3,54.4,54.9,30.7,35.7,70.524,77.344,79.89,1.841,81.804,70.0,70.2,1.067,1.046,36.212
2008,Florida St.,107.275,93.921,0.822,19.0,34.0,50.4,49.3,35.9,34.6,21.9,22.6,33.5,33.8,68.3,49.2,48.0,35.2,34.6,10.4,9.0,44.4,52.5,34.9,34.7,67.493,76.349,80.074,2.129,67.194,77.3,69.3,1.034,0.989,31.825
2008,Vanderbilt,111.371,97.754,0.818,26.0,34.0,54.1,49.7,38.3,32.0,19.8,20.5,31.0,33.5,71.5,50.6,48.3,39.9,35.0,8.5,9.6,65.3,49.1,38.1,33.6,70.392,77.422,81.039,1.665,63.746,73.5,69.5,1.092,1.018,23.781
2008,Arizona St.,108.255,95.07,0.817,21.0,34.0,53.7,48.4,40.1,32.1,20.2,21.6,28.5,32.2,61.3,54.1,45.3,35.5,35.1,10.8,8.7,63.9,65.3,41.5,42.2,62.65,76.793,79.622,0.726,46.958,73.9,73.0,1.07,0.992,31.383
2008,Maryland,107.02,94.155,0.813,19.0,34.0,50.9,44.4,37.5,30.9,23.4,19.7,35.0,34.9,71.7,50.9,42.6,33.8,32.4,15.1,11.5,62.8,50.1,27.8,30.4,71.11,78.423,80.198,1.382,68.771,70.3,74.0,1.014,0.969,29.953
2008,Massachusetts,109.185,96.121,0.812,25.0,36.0,51.4,47.6,38.6,37.9,17.7,19.9,31.7,33.9,75.6,49.9,46.1,35.6,34.1,16.8,10.7,56.3,53.4,40.7,30.1,76.22,77.257,80.357,2.014,49.249,67.2,67.8,1.075,0.998,23.0
2008,Illinois St.,104.6,92.385,0.807,24.0,34.0,52.2,46.3,33.9,35.5,20.0,22.2,31.2,31.2,63.0,50.1,45.2,37.1,32.2,10.1,7.6,62.5,56.2,38.0,36.0,64.489,75.557,80.208,2.196,13.883,63.3,69.2,1.034,0.952,21.05
2008,Southern Illinois,104.074,91.933,0.806,18.0,33.0,48.4,49.2,40.7,48.8,22.2,24.6,33.4,28.7,61.7,47.0,47.3,34.0,34.7,8.4,8.6,57.1,55.2,35.5,39.0,62.82,76.576,79.325,2.159,23.944,71.5,70.3,1.004,0.958,25.533
2008,Kent St.,105.946,93.69,0.804,28.0,35.0,52.5,46.6,41.1,37.8,21.8,24.2,35.7,35.6,65.4,50.9,46.0,37.3,31.7,10.9,10.3,57.9,54.6,30.4,33.1,66.559,75.948,78.878,1.917,13.77,70.7,67.8,1.05,0.942,18.253
2008,Oklahoma St.,107.98,95.61,0.802,16.0,32.0,49.7,50.1,38.4,44.1,21.5,24.4,32.6,33.9,67.1,48.8,48.2,34.1,36.2,9.2,10.1,46.6,46.3,39.9,31.2,66.797,77.696,80.693,1.358,73.522,71.7,72.0,1.022,0.997,34.613
2008,Minnesota,107.409,95.147,0.801,20.0,34.0,50.2,48.5,35.0,39.5,21.6,25.1,36.0,33.9,65.7,47.5,47.4,36.7,33.6,12.8,9.4,63.0,60.6,35.6,37.3,67.231,76.953,80.524,1.785,53.343,67.6,71.9,1.04,0.963,27.824
2008,Washington,108.766,96.384,0.801,16.0,33.0,50.0,51.2,34.2,39.7,19.8,21.5,40.6,29.9,69.3,49.0,48.8,35.1,37.5,5.9,8.5,50.4,54.2,27.0,32.4,70.312,76.538,79.993,1.673,83.193,58.6,69.5,1.049,1.015,33.03
2008,California,115.336,102.479,0.796,17.0,33.0,52.3,51.9,36.1,33.1,19.4,17.2,34.5,31.8,68.8,51.6,51.4,35.9,35.1,6.9,8.0,55.8,56.7,32.2,39.9,69.648,77.894,81.453,1.378,69.093,77.6,68.2,1.099,1.08,36.11
2008,Wake Forest,106.169,94.446,0.793,17.0,30.0,48.3,49.1,34.0,36.8,19.6,23.9,33.9,33.8,71.0,49.2,47.1,31.1,35.1,14.2,7.8,46.2,53.1,33.4,35.9,70.719,77.129,81.464,0.814,74.768,65.7,67.3,1.008,0.969,28.725
2008,UAB,108.816,96.808,0.793,23.0,34.0,52.2,46.8,39.0,37.1,20.4,19.8,32.2,30.6,68.5,49.9,45.1,37.5,33.6,8.6,9.2,55.1,47.1,35.8,31.4,68.869,76.621,80.319,1.646,37.66,70.7,65.0,1.059,0.968,20.841
2008,Temple,111.173,98.93,0.793,21.0,34.0,54.1,49.1,35.3,31.8,19.1,19.3,28.5,32.4,65.7,53.3,46.5,36.9,35.7,12.2,7.1,59.5,57.1,39.4,37.2,65.554,77.301,80.991,1.786,21.698,74.0,72.4,1.084,1.03,23.396
2008,Kentucky,106.598,94.897,0.792,18.0,31.0,52.7,45.0,41.1,42.4,23.7,19.7,32.9,33.8,65.6,51.5,43.1,36.9,32.6,13.2,10.3,53.7,50.7,31.5,33.3,64.291,78.254,80.72,1.464,77.136,73.3,70.7,1.029,0.986,28.632
2008,VCU,102.634,91.611,0.787,24.0,32.0,49.6,42.1,40.1,38.0,20.5,22.9,34.6,32.9,65.2,46.4,42.9,37.6,26.9,14.3,8.9,54.2,53.5,32.8,30.0,65.442,76.079,79.515,1.514,33.43,67.7,69.7,1.031,0.899,15.451
2008,Houston,112.675,100.817,0.782,24.0,34.0,49.8,49.1,33.5,38.8,15.4,22.7,31.7,33.4,71.2,45.7,48.2,36.1,33.8,10.6,10.8,48.7,58.9,48.6,36.4,70.956,76.679,79.376,2.153,44.731,77.0,66.7,1.108,0.988,18.331
2008,Dayton,109.204,97.9,0.778,23.0,34.0,52.7,50.6,42.3,33.1,20.6,20.2,35.3,27.9,62.4,51.1,48.6,37.5,35.5,8.8,9.2,48.0,58.6,31.0,43.1,63.567,76.684,79.786,1.849,51.326,64.1,70.6,1.072,1.011,23.578
2008,Tulsa,105.583,94.885,0.774,25.0,39.0,50.4,46.0,38.0,31.5,22.8,18.1,36.4,29.5,66.4,49.0,44.6,35.3,32.8,15.0,10.3,51.7,51.4,34.5,31.9,66.117,77.058,81.036,1.854,30.495,72.7,66.4,1.038,0.961,20.96
2008,Creighton,106.393,95.627,0.773,21.0,32.0,51.6,48.0,33.3,36.7,21.2,22.8,32.5,31.7,66.4,49.8,45.2,36.2,35.6,10.4,8.5,57.1,55.0,40.6,34.7,67.905,76.134,79.591,1.462,21.922,71.6,72.4,1.042,0.975,24.495
2008,South Alabama,110.453,99.506,0.769,24.0,31.0,53.9,48.4,46.0,31.0,20.6,20.4,37.9,30.5,66.9,53.3,47.3,36.8,33.5,8.6,8.1,60.8,56.3,33.7,37.5,66.669,75.45,79.1,2.249,21.566,70.3,67.0,1.119,0.983,14.424
2008,Utah,109.139,98.392,0.767,17.0,32.0,53.8,47.8,31.1,40.4,19.6,18.1,26.9,25.0,63.6,51.4,44.8,38.8,35.7,9.8,5.4,59.2,54.0,35.7,34.0,64.34,77.63,82.454,1.726,26.367,75.6,73.3,1.058,0.998,24.771
2008,Alabama,109.542,99.097,0.76,17.0,33.0,51.4,50.2,33.5,33.9,18.5,20.2,36.5,31.9,69.2,50.0,48.3,36.3,35.5,12.3,8.0,56.2,53.9,31.8,37.7,68.587,77.313,80.159,1.551,79.379,62.0,71.9,1.072,1.037,25.911
2008,Rhode Island,113.161,102.467,0.758,21.0,33.0,53.1,49.5,39.2,33.6,19.4,21.1,37.2,34.5,72.0,51.2,47.5,38.0,35.3,10.3,7.2,52.3,52.5,32.0,35.7,71.948,77.423,80.047,2.018,24.183,69.3,71.1,1.114,1.029,19.711
2008,Bradley,111.13,100.672,0.757,21.0,38.0,52.3,50.8,36.4,37.8,20.2,21.7,31.2,33.4,68.7,49.3,49.2,37.4,36.0,6.5,9.9,64.1,53.5,43.4,33.2,70.398,75.532,78.51,1.982,13.069,74.4,70.1,1.063,1.033,23.682
2008,Akron,108.617,98.534,0.754,24.0,35.0,51.9,49.8,39.3,36.7,19.5,24.8,33.9,34.4,65.0,47.9,50.2,38.6,32.6,7.9,9.2,56.0,50.9,40.4,32.0,65.084,76.216,79.242,2.2,0.701,70.3,69.1,1.08,0.972,16.613
2008,IUPUI,114.269,103.705,0.753,23.0,30.0,57.0,50.2,36.7,33.8,18.1,21.4,33.5,34.6,63.5,54.1,49.5,41.8,34.1,8.7,6.9,54.5,62.2,33.1,41.5,62.676,75.83,78.673,1.861,6.515,78.3,69.3,1.169,1.019,12.838
2008,Oral Roberts,102.101,92.842,0.749,23.0,32.0,49.9,44.8,40.7,29.5,19.2,20.7,33.1,31.3,65.4,47.1,42.6,36.8,33.7,9.6,7.1,56.1,45.8,33.5,27.3,65.695,77.204,80.741,2.475,1.838,66.7,75.4,1.042,0.942,17.7
2008,Duquesne,107.138,97.453,0.748,17.0,30.0,51.7,48.1,39.6,35.9,21.4,24.3,37.1,37.1,76.0,54.2,45.4,31.6,36.0,17.4,11.6,63.3,60.8,36.5,31.2,76.11,76.261,80.137,1.815,13.698,73.7,69.7,1.084,0.975,20.414
2008,Missouri St.,107.285,97.605,0.748,16.0,32.0,50.7,49.6,34.8,35.2,22.3,22.6,35.2,32.5,64.9,48.6,46.6,36.6,36.5,11.5,8.6,59.6,56.7,33.4,37.1,66.854,75.712,78.349,2.323,21.275,71.6,71.5,1.032,0.998,23.099
2008,Virginia,110.425,100.601,0.745,17.0,33.0,50.3,52.0,35.3,33.2,19.4,18.8,36.1,28.6,71.3,47.6,50.1,36.6,36.7,6.4,9.4,50.6,56.8,37.0,38.3,70.032,77.198,80.16,1.71,57.579,70.5,66.5,1.066,1.039,28.546
2008,Providence,108.895,99.226,0.744,15.0,31.0,51.5,50.3,32.3,37.1,21.1,22.0,36.6,36.4,68.0,48.9,49.4,37.6,34.7,9.0,10.0,55.9,57.7,35.0,33.7,67.653,77.059,80.589,1.583,41.818,68.0,74.2,1.056,1.049,32.39
2008,George Mason,107.954,98.656,0.738,23.0,34.0,52.3,47.5,39.8,27.0,18.7,18.4,32.0,27.9,63.3,52.4,46.4,34.7,33.2,8.7,7.5,53.8,51.2,33.2,33.1,63.72,76.226,78.876,1.976,13.842,70.3,71.7,1.082,0.976,14.311
2008,Miami OH,106.207,97.119,0.737,17.0,33.0,51.5,48.6,30.9,30.9,20.0,20.3,31.1,33.2,59.4,50.6,48.0,35.6,33.2,9.8,8.2,54.4,46.6,31.8,33.9,59.741,76.348,78.628,1.898,1.285,70.1,66.3,1.033,1.001,25.794
2008,Texas Tech,105.327,96.345,0.736,15.0,30.0,50.2,51.0,47.6,34.8,19.9,21.8,26.3,33.0,69.8,48.4,48.8,36.7,36.8,6.6,8.9,52.3,46.7,26.7,34.0,69.983,76.422,79.815,1.723,23.317,70.4,69.0,1.0,1.003,33.456
2008,Charlotte,102.505,93.866,0.734,20.0,34.0,47.1,49.0,41.7,41.2,20.6,24.3,33.3,32.9,69.1,44.0,47.4,34.4,34.2,10.7,12.8,56.2,56.9,40.6,39.4,68.847,76.235,79.494,1.363,25.436,67.3,69.2,1.001,0.969,23.788
2008,Georgia,103.152,94.684,0.728,16.0,33.0,47.8,48.1,32.1,33.6,21.8,19.0,37.2,31.6,67.1,47.1,49.1,32.9,30.9,9.2,9.9,47.0,52.2,31.4,35.0,66.618,77.164,81.014,1.677,57.893,67.4,64.8,1.002,0.994,29.703
2008,New Mexico St.,106.75,98.536,0.715,20.0,34.0,52.4,49.6,39.0,33.2,21.9,21.6,41.2,29.4,72.6,52.5,46.7,34.8,36.3,8.3,8.2,51.9,53.0,28.8,37.3,71.403,77.103,80.039,1.79,35.626,63.9,69.1,1.079,0.987,19.179
2008,San Diego St.,102.855,94.957,0.715,19.0,32.0,49.1,50.5,36.6,33.0,20.9,23.1,32.8,28.0,65.6,48.9,49.3,33.0,35.2,7.2,8.6,53.4,54.6,30.7,35.0,66.103,76.72,79.835,1.461,43.598,68.2,67.2,1.005,0.959,22.666
2008,Western Michigan,105.312,97.577,0.706,20.0,32.0,49.7,46.7,47.6,41.5,22.0,19.4,36.1,29.4,65.2,47.0,45.3,36.1,32.9,6.8,10.4,49.3,54.5,37.6,36.3,65.979,75.484,78.616,2.056,16.696,75.3,70.9,1.054,0.983,16.011
