Year,Team,Conf_x,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD,BPI(O),BPI(D),Conf_y,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj OE,Adj DE,Barthag,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,PASE
2008,Michigan St.,B10,+21.15,115.8,94.7,63.3,+8.71,108.2,99.5,5.8,7.8,Big Ten,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,114.696,92.673,0.921,27.0,36.0,52.6,46.0,33.5,33.1,21.1,18.9,39.5,31.6,64.6,51.6,45.6,37.1,31.1,12.3,9.8,66.5,56.1,24.4,37.2,65.325,77.042,81.197,1.61,87.079,73.7,67.1,1.102,0.969,32.964,0.3996394230769231
2008,Butler,Horz,+19.97,116.2,96.2,59.5,+2.79,104.3,101.5,3.3,9.2,Horizon,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,114.239,94.85,0.895,30.0,34.0,54.1,48.0,36.7,32.6,16.9,22.9,29.8,32.2,60.5,51.3,48.2,38.0,31.8,7.2,9.3,57.3,45.4,48.5,31.7,61.214,75.775,79.139,2.186,11.348,73.7,66.5,1.124,0.954,18.042,0.6394230769230769
2008,Texas A&M,B12,+19.93,112.3,92.3,61.8,+8.28,107.4,99.1,4.1,8.2,Big 12,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,112.124,91.137,0.916,24.0,35.0,52.0,44.9,41.8,26.7,19.2,17.4,35.0,28.1,64.4,51.2,42.2,35.7,33.8,10.2,10.1,53.4,48.8,30.1,31.2,63.8,78.021,80.885,1.611,61.214,63.4,66.1,1.073,0.939,32.765,-0.0134032634032633
2008,Pittsburgh,BE,+19.91,116.5,96.6,63.9,+9.52,107.8,98.3,7.2,6.0,Big East,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,116.223,95.865,0.902,26.0,36.0,50.8,47.9,36.1,28.6,18.2,20.9,39.3,33.9,65.5,50.8,46.8,33.8,33.4,9.2,8.0,57.3,52.9,30.4,34.4,65.295,75.961,78.824,1.727,65.161,66.5,69.4,1.106,0.988,33.492,-0.3762820512820511
2008,Arizona,P10,+19.14,116.4,97.3,63.5,+12.72,110.3,97.6,6.6,4.1,Pac-12,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,115.467,95.463,0.899,18.0,33.0,53.9,48.7,40.4,30.4,18.6,19.0,27.8,33.4,64.9,51.2,47.5,39.6,34.5,8.8,7.8,61.9,52.8,32.1,28.2,65.299,77.029,80.331,1.403,85.102,74.5,70.5,1.087,1.021,39.743,-0.2774725274725275
2008,Notre Dame,BE,+19.07,114.6,95.6,69.5,+6.88,107.5,100.6,10.6,1.6,Big East,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,114.634,95.083,0.896,25.0,33.0,52.2,46.6,34.0,23.0,18.3,17.5,36.2,30.7,70.8,47.8,44.8,40.5,33.5,8.8,9.1,66.5,57.0,33.6,33.2,70.549,77.364,81.067,1.735,80.171,73.8,64.5,1.113,0.98,29.443,-0.066464237516869
2008,Gonzaga,WCC,+19.05,114.5,95.5,65.9,+2.57,104.0,101.5,8.1,2.9,WCC,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,112.64,93.328,0.897,25.0,33.0,54.5,45.7,39.7,32.1,20.7,21.6,34.6,29.7,68.4,53.7,43.8,37.5,32.7,13.0,9.0,53.7,51.1,31.9,37.2,68.355,78.557,81.738,1.584,73.8,71.2,64.8,1.102,0.92,22.704,0.262051282051282
2008,Kansas St.,B12,+18.90,114.2,95.3,69.7,+9.09,108.0,98.9,8.6,1.1,Big 12,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,114.51,93.471,0.912,20.0,32.0,49.5,48.3,37.4,38.3,20.8,22.2,42.3,30.3,71.7,50.2,44.9,32.0,37.2,8.9,8.3,55.4,56.2,32.2,31.5,71.828,77.238,80.586,1.161,40.016,69.3,65.6,1.08,0.955,33.149,0.016025641025641
2008,Connecticut,BE,+18.90,115.2,96.3,67.1,+7.67,107.7,100.0,8.5,3.8,Big East,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,114.878,94.969,0.899,24.0,33.0,50.6,44.2,48.1,23.5,19.4,17.3,39.5,34.2,69.8,49.5,40.5,36.1,34.8,19.3,8.2,56.2,52.3,24.7,32.0,69.029,78.462,83.02,1.417,85.537,72.0,68.0,1.102,0.977,29.383,0.4484508547008548
2008,USC,P10,+18.67,110.5,91.9,65.2,+11.18,109.7,98.5,4.9,7.1,Pac-12,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,109.398,90.84,0.895,21.0,33.0,53.3,44.8,38.7,27.9,21.9,20.0,31.1,35.0,65.9,51.5,44.1,38.7,30.7,11.5,7.3,49.9,48.4,27.8,34.7,67.383,77.758,80.623,0.639,65.854,68.5,68.5,1.035,0.955,37.287,-0.0934065934065934
2008,Indiana,B10,+18.43,114.6,96.1,66.2,+6.28,106.6,100.3,8.5,4.1,Big Ten,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,114.083,94.893,0.893,25.0,33.0,52.3,47.3,41.9,31.0,20.0,19.8,36.1,29.1,67.3,52.3,45.1,34.9,34.1,10.3,8.0,52.0,56.1,34.9,35.7,68.445,77.392,80.08,1.587,52.71,75.9,65.0,1.104,0.961,28.373,-0.0804843304843304
2008,Purdue,B10,+18.30,110.5,92.2,66.9,+6.41,106.2,99.7,3.9,6.0,Big Ten,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,110.076,90.51,0.905,25.0,34.0,49.1,49.1,37.1,42.6,19.1,26.0,33.1,30.9,66.6,45.3,47.6,37.3,34.8,12.8,9.1,56.0,55.2,35.7,31.5,68.458,77.694,80.62,0.848,66.368,71.2,67.0,1.038,0.931,30.011,-0.4294871794871794
2008,Ohio St.,B10,+17.79,110.2,92.4,64.0,+8.35,108.6,100.3,3.6,8.2,Big Ten,24.0,13.0,68.9,62.2,6.78,7.97,3.38,10.34,13.72,108.618,91.04,0.884,24.0,37.0,52.5,45.4,28.2,22.1,20.4,21.4,33.3,35.6,65.3,53.6,43.6,33.7,32.0,14.4,6.4,57.2,61.0,36.5,40.4,65.852,78.523,81.487,1.375,74.588,68.7,68.0,1.053,0.949,31.183,-0.1308275058275058
2008,New Mexico,MWC,+17.08,111.1,94.0,64.4,+1.13,104.0,102.9,5.2,4.1,Mountain West,24.0,9.0,74.1,62.7,11.42,1.72,5.99,6.55,12.53,109.584,91.583,0.887,24.0,33.0,54.1,47.8,40.2,41.3,18.1,24.0,31.1,27.4,66.0,49.2,45.7,42.0,33.9,8.8,6.7,63.4,63.5,35.6,40.0,66.156,76.735,80.044,1.88,26.569,65.9,68.3,1.097,0.928,18.856,-0.5670611439842208
2008,Mississippi St.,SEC,+16.77,108.2,91.5,66.6,+6.22,108.1,101.8,5.5,5.5,SEC,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,107.764,91.103,0.873,23.0,34.0,52.2,42.5,39.0,28.0,21.4,17.8,34.7,32.7,69.1,53.3,39.8,33.4,31.7,19.3,9.4,50.6,50.5,36.6,35.1,68.545,77.328,80.262,1.332,69.445,64.6,68.4,1.049,0.939,26.002,-0.1707459207459207
2008,Virginia Tech,ACC,+16.29,107.1,90.8,65.8,+7.41,107.9,100.5,2.4,7.4,ACC,21.0,14.0,70.2,64.7,5.46,6.54,3.05,8.95,12.0,105.366,88.506,0.881,21.0,35.0,48.8,46.5,39.0,33.7,20.9,21.5,34.6,29.0,68.5,48.0,44.1,33.7,34.1,13.0,10.8,53.9,53.1,28.8,33.7,67.588,77.235,79.456,1.028,44.947,68.1,68.0,1.011,0.932,28.24,-0.358974358974359
2008,BYU,MWC,+15.76,107.4,91.7,67.8,+1.47,104.2,102.7,4.6,3.6,Mountain West,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,105.934,89.966,0.867,27.0,35.0,53.2,43.2,37.3,30.5,19.5,19.1,30.6,26.4,69.9,51.6,42.8,37.3,29.5,9.6,6.0,65.3,46.9,38.8,29.7,70.17,77.758,81.128,1.659,34.988,65.3,70.5,1.051,0.901,21.985,-0.3964237516869095
2008,Oregon,P10,+15.66,118.8,103.1,65.8,+10.56,108.9,98.4,11.0,-1.1,Pac-12,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,118.033,101.531,0.85,18.0,32.0,55.8,50.3,36.7,34.3,18.4,16.4,32.0,31.0,67.3,53.8,50.4,39.2,33.4,6.7,10.0,55.4,53.3,39.8,35.3,68.024,76.175,79.668,1.946,72.871,69.4,69.1,1.124,1.065,35.863,0.4063116370808679
2008,Miami FL,ACC,+15.38,112.5,97.1,65.8,+7.78,106.7,98.9,8.1,2.2,ACC,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,111.547,95.122,0.862,22.0,33.0,49.2,47.0,39.2,35.4,19.0,20.6,35.1,34.0,68.6,45.7,43.7,37.9,35.6,12.1,10.3,51.1,49.4,31.0,34.1,67.708,77.031,80.051,1.832,42.138,75.2,66.8,1.07,0.987,30.218,0.1398601398601399
2008,Florida,SEC,+15.37,115.9,100.5,65.0,+3.13,105.1,102.0,8.1,2.5,SEC,24.0,12.0,77.5,67.6,9.94,4.98,8.39,3.96,12.34,115.303,98.875,0.854,24.0,36.0,55.3,50.0,31.2,29.1,18.6,19.8,35.6,30.0,67.6,55.7,49.5,36.3,34.0,8.1,8.1,61.1,52.3,35.5,33.1,66.536,77.091,80.709,0.619,87.222,70.1,65.9,1.144,0.997,23.042,0.5085470085470086
2008,Nebraska,B12,+15.31,108.0,92.7,61.6,+6.19,106.4,100.2,-0.5,8.0,Big 12,20.0,13.0,67.1,60.7,6.42,6.34,0.38,10.92,11.31,107.09,91.128,0.865,20.0,33.0,51.2,47.3,38.6,32.0,20.6,23.9,32.1,30.0,64.0,51.1,42.6,34.2,36.4,9.2,9.0,60.1,55.7,32.1,39.1,63.156,75.063,79.654,1.497,23.932,66.6,70.3,1.032,0.933,30.791,-0.8253205128205128
2008,Arkansas,SEC,+15.19,111.4,96.2,66.5,+7.19,108.4,101.2,5.5,4.1,SEC,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,110.791,94.541,0.861,23.0,35.0,51.9,48.4,37.9,35.6,21.8,21.2,37.6,31.9,69.4,52.3,47.4,34.1,33.5,14.1,9.9,54.0,52.9,30.3,34.6,68.57,77.418,81.732,2.232,59.525,67.8,69.7,1.064,0.981,27.962,0.3525641025641026
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Baylor,B12,+14.82,115.7,100.9,70.1,+7.58,106.9,99.3,12.6,-4.8,Big 12,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,115.908,99.62,0.851,20.0,31.0,51.9,48.3,35.9,39.5,17.2,19.4,32.0,32.9,70.9,49.6,46.5,37.3,35.1,10.2,9.9,42.7,47.1,36.5,29.9,71.653,76.527,81.574,1.742,52.034,74.1,70.6,1.103,1.025,30.479,-0.2539447731755423
2008,Saint Mary's,WCC,+14.66,109.2,94.6,66.4,+0.11,103.4,103.3,5.1,3.9,WCC,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,107.405,93.028,0.839,24.0,31.0,52.4,44.8,39.0,30.7,18.9,20.9,35.5,31.4,68.6,51.6,44.1,35.8,31.3,12.1,10.3,55.3,38.6,38.0,25.9,68.369,77.097,80.766,1.76,18.126,66.3,69.1,1.088,0.921,18.353,-0.2184829059829059
2008,Western Kentucky,SB,+14.60,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,Sun Belt,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,109.649,95.625,0.828,27.0,34.0,53.6,47.2,36.0,48.8,20.2,24.9,36.7,33.4,69.4,51.1,46.2,39.0,32.9,10.6,7.1,46.1,53.0,32.7,32.2,69.64,76.545,79.573,2.066,16.148,70.8,70.3,1.104,0.954,17.124,0.2911324786324786
2008,Oklahoma,B12,+14.47,109.5,95.1,63.1,+9.45,108.3,98.9,2.6,6.9,Big 12,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,107.446,93.302,0.835,23.0,35.0,50.1,47.0,38.7,30.3,19.7,20.2,33.4,30.2,64.8,49.0,46.0,34.8,32.6,10.7,9.0,52.5,46.9,33.6,34.7,65.124,77.981,81.253,1.669,63.704,68.1,72.7,1.038,0.975,34.378,-0.246565934065934
2008,Saint Joseph's,A10,+14.32,115.1,100.8,64.0,+5.81,106.9,101.1,6.1,3.2,A-10,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,113.772,99.278,0.827,21.0,34.0,54.6,50.6,39.7,33.3,19.3,21.5,32.5,34.0,65.2,52.8,47.7,38.6,37.0,13.3,10.0,58.4,60.6,35.6,37.6,65.359,78.503,81.31,1.974,34.745,72.6,68.5,1.112,1.026,24.33,-0.141826923076923
2008,Villanova,BE,+14.21,109.2,95.0,68.1,+9.14,108.9,99.8,5.6,3.4,Big East,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,107.856,93.494,0.838,22.0,35.0,49.1,51.1,38.9,46.4,20.5,23.6,36.2,31.0,69.4,47.8,48.6,34.4,36.5,9.1,12.3,53.7,57.6,34.9,40.9,69.425,77.261,80.258,0.994,61.386,72.7,68.4,1.049,1.001,31.721,0.2202564102564102
2008,Syracuse,BE,+14.12,112.6,98.4,69.9,+7.96,107.8,99.9,10.1,-0.6,Big East,21.0,14.0,79.0,74.3,4.69,7.96,12.91,-0.27,12.65,111.815,96.572,0.844,21.0,35.0,52.7,49.2,42.0,29.5,21.8,20.0,39.0,32.6,72.9,53.3,46.8,34.1,35.4,15.8,8.2,58.0,61.9,26.9,39.1,71.95,78.016,81.88,0.794,84.573,66.8,69.6,1.081,1.017,28.286,0.3839522546419098
2008,UNLV,MWC,+13.71,110.2,96.5,63.9,+3.10,104.3,101.2,2.6,6.0,Mountain West,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,108.847,94.019,0.843,26.0,34.0,48.6,46.3,33.3,32.4,16.2,21.6,29.1,32.3,66.2,47.8,47.0,33.2,30.1,8.7,8.4,61.4,53.8,39.8,36.6,66.24,76.523,78.859,1.999,18.883,74.8,66.7,1.047,0.939,22.955,0.0756410256410256
2008,Arizona St.,P10,+13.62,110.2,96.6,61.2,+6.79,107.4,100.6,0.5,6.7,Pac-12,21.0,13.0,66.8,61.9,4.85,6.28,1.51,8.8,10.31,108.255,95.07,0.817,21.0,34.0,53.7,48.4,40.1,32.1,20.2,21.6,28.5,32.2,61.3,54.1,45.3,35.5,35.1,10.8,8.7,63.9,65.3,41.5,42.2,62.65,76.793,79.622,0.726,46.958,73.9,73.0,1.07,0.992,31.383,0.2417582417582418
2008,Mississippi,SEC,+13.49,114.2,100.7,69.3,+5.66,106.7,101.0,10.1,-0.7,SEC,24.0,11.0,79.5,72.9,6.54,5.88,13.28,-0.99,12.29,112.996,98.799,0.824,24.0,35.0,52.0,49.5,30.0,34.3,18.6,19.6,39.1,31.1,71.5,50.4,48.2,36.7,34.4,8.8,9.9,54.0,55.6,33.0,36.2,71.273,76.852,80.431,1.466,48.726,65.1,66.9,1.104,1.013,25.291,-0.183048433048433
2008,Illinois,B10,+13.47,107.5,94.0,61.0,+9.61,108.4,98.8,-0.7,8.8,Big Ten,16.0,19.0,63.6,61.1,2.51,8.46,0.25,10.73,10.98,106.048,91.274,0.849,16.0,35.0,48.8,45.8,36.5,37.2,21.5,20.3,37.0,29.9,62.4,49.2,43.3,31.9,33.5,8.1,8.9,59.6,52.8,33.0,35.5,63.324,77.732,81.276,1.712,66.285,60.8,72.0,1.002,0.962,33.407,-0.3557692307692308
2008,Massachusetts,A10,+13.10,110.5,97.3,74.6,+5.26,107.3,102.0,11.3,-3.5,A-10,25.0,11.0,81.5,75.7,5.83,3.77,14.43,-4.83,9.6,109.185,96.121,0.812,25.0,36.0,51.4,47.6,38.6,37.9,17.7,19.9,31.7,33.9,75.6,49.9,46.1,35.6,34.1,16.8,10.7,56.3,53.4,40.7,30.1,76.22,77.257,80.357,2.014,49.249,67.2,67.8,1.075,0.998,23.0,-0.3597756410256409
2008,Georgia Tech,ACC,+13.10,114.5,101.4,68.6,+11.47,109.5,98.0,9.8,-0.5,ACC,15.0,17.0,77.6,76.0,1.56,9.57,11.45,-0.69,10.77,113.241,99.049,0.823,15.0,32.0,52.9,51.2,38.3,48.7,21.1,22.4,34.1,35.5,72.1,51.5,51.5,37.2,33.8,9.8,8.3,54.4,54.9,30.7,35.7,70.524,77.344,79.89,1.841,81.804,70.0,70.2,1.067,1.046,36.212,0.1630608974358975
2008,Missouri,B12,+13.04,113.3,100.2,69.3,+8.57,107.1,98.6,10.1,-1.0,Big 12,16.0,16.0,77.1,72.3,4.88,6.87,12.35,-0.6,11.75,111.334,97.172,0.827,16.0,32.0,50.7,48.8,30.8,42.9,17.7,23.1,31.5,34.9,72.1,51.0,49.8,33.4,30.9,7.8,8.2,57.4,48.7,31.9,31.2,72.507,77.163,80.091,2.171,47.452,69.0,71.0,1.059,0.992,32.693,-0.3123543123543122
2008,Kent St.,MAC,+13.04,107.8,94.8,65.1,+1.03,103.5,102.5,1.8,5.8,MAC,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,105.946,93.69,0.804,28.0,35.0,52.5,46.6,41.1,37.8,21.8,24.2,35.7,35.6,65.4,50.9,46.0,37.3,31.7,10.9,10.3,57.9,54.6,30.4,33.1,66.559,75.948,78.878,1.917,13.77,70.7,67.8,1.05,0.942,18.253,0.1492673992673992
2008,Vanderbilt,SEC,+12.65,112.3,99.6,68.2,+5.20,107.4,102.2,10.0,-1.6,SEC,26.0,8.0,80.0,74.6,5.41,5.54,12.11,-1.16,10.96,111.371,97.754,0.818,26.0,34.0,54.1,49.7,38.3,32.0,19.8,20.5,31.0,33.5,71.5,50.6,48.3,39.9,35.0,8.5,9.6,65.3,49.1,38.1,33.6,70.392,77.422,81.039,1.665,63.746,73.5,69.5,1.092,1.018,23.781,-0.2916666666666666
