Year,Team,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS
2008,Purdue,25,9,69.6,62.4,7.21,5.9,5.95,7.16,13.1
2008,Butler,30,4,68.8,58.4,10.41,2.64,2.38,10.63,13.0
2008,Syracuse,21,14,79.0,74.3,4.69,7.96,12.91,-0.27,12.65
2008,New Mexico,24,9,74.1,62.7,11.42,1.72,5.99,6.55,12.53
2008,Arkansas,23,12,74.1,68.3,5.74,6.73,6.67,5.81,12.48
2008,Miami FL,23,11,74.8,67.9,6.85,7.13,7.49,4.89,12.38
2008,Florida,24,12,77.5,67.6,9.94,4.98,8.39,3.96,12.34
2008,Mississippi,24,11,79.5,72.9,6.54,5.88,13.28,-0.99,12.29
2008,Virginia Tech,21,14,70.2,64.7,5.46,6.54,3.05,8.95,12.0
2008,Oklahoma,23,12,67.9,63.8,4.11,7.85,3.36,8.61,11.97
2008,BYU,27,8,73.7,63.2,10.49,1.33,5.74,6.08,11.82
2008,Missouri,16,16,77.1,72.3,4.88,6.87,12.35,-0.6,11.75
2008,Oregon,18,14,76.6,72.5,4.03,7.65,12.03,-0.35,11.68
2008,Baylor,21,11,81.3,74.9,6.41,5.75,15.95,-4.5,11.46
2008,Saint Mary's,25,7,75.7,63.7,12.0,0.36,6.27,5.12,11.39
2008,Nebraska,20,13,67.1,60.7,6.42,6.34,0.38,10.92,11.31
2008,Villanova,22,13,72.8,69.5,3.31,7.69,6.92,4.08,11.0
2008,Illinois,16,19,63.6,61.1,2.51,8.46,0.25,10.73,10.98
2008,Vanderbilt,26,8,80.0,74.6,5.41,5.54,12.11,-1.16,10.96
2008,Georgia Tech,15,17,77.6,76.0,1.56,9.57,11.45,-0.69,10.77
2008,Florida St.,19,15,72.1,69.0,3.09,7.31,5.32,5.08,10.4
2008,Arizona St.,21,13,66.8,61.9,4.85,6.28,1.51,8.8,10.31
2008,Minnesota,20,14,68.3,63.2,5.06,6.5,3.72,6.56,10.27
2008,UNLV,27,8,69.7,62.3,7.4,4.02,2.46,7.77,10.23
2008,Maryland,19,15,73.0,69.8,3.24,7.28,7.34,2.4,9.74
2008,Saint Joseph's,21,13,73.1,67.4,5.65,3.98,6.05,3.58,9.63
2008,Massachusetts,25,11,81.5,75.7,5.83,3.77,14.43,-4.83,9.6
2008,Oklahoma St.,17,16,68.4,66.5,1.94,7.67,2.99,6.4,9.39
2008,California,17,16,76.4,75.1,1.3,8.45,12.29,-2.93,9.36
2008,Western Kentucky,29,7,77.4,66.8,10.61,0.24,7.93,1.41,9.34
2008,Wake Forest,17,13,72.2,69.4,2.83,8.83,7.28,2.01,9.29
2008,Kentucky,18,13,68.5,65.6,2.9,7.09,1.44,7.75,9.19
2008,Washington,16,17,73.2,70.8,2.36,8.0,8.1,1.0,9.09
2008,Duquesne,17,13,82.3,74.1,8.23,1.85,13.47,-4.51,8.96
2008,Southern Illinois,18,15,62.6,59.7,2.85,5.88,-2.16,10.89,8.73
2008,Illinois St.,25,10,65.3,59.3,6.0,3.44,-0.93,9.58,8.64
2008,Rhode Island,21,12,80.5,74.4,6.12,2.29,12.41,-4.0,8.42
2008,Houston,24,10,78.9,70.3,8.56,-0.16,10.19,-1.8,8.4
2008,Providence,15,16,72.7,72.2,0.52,7.86,6.76,1.62,8.38
2008,UAB,23,11,73.6,67.3,6.26,2.09,6.53,1.83,8.35
2008,Temple,21,13,72.3,68.7,3.59,4.57,5.05,3.11,8.16
2008,Alabama,17,16,75.3,72.8,2.42,5.7,8.19,-0.07,8.12
2008,Creighton,22,11,71.5,66.0,5.55,4.45,4.85,3.21,8.06
2008,Dayton,23,11,68.1,64.2,3.91,4.06,2.39,5.59,7.98
2008,South Alabama,26,7,75.1,65.4,9.7,-1.21,5.46,2.3,7.76
2008,Virginia,17,16,76.8,74.8,1.97,5.63,9.32,-1.72,7.6
2008,Kent St.,28,7,68.9,61.9,7.06,0.41,1.96,5.51,7.47
2008,Texas Tech,16,15,69.9,69.3,0.61,7.62,4.52,2.83,7.35
2008,Utah,18,15,68.5,63.8,4.79,3.89,1.39,5.96,7.35
2008,South Carolina,14,18,72.3,71.1,1.19,6.11,4.52,2.78,7.3
2008,Tulsa,25,14,70.4,65.2,5.23,2.97,1.87,5.41,7.28
2008,Georgia,17,17,68.1,67.4,0.71,7.03,0.83,6.42,7.24
2008,VCU,24,8,67.4,58.8,8.63,-2.06,-1.83,8.39,6.57
2008,Charlotte,20,14,69.6,67.4,2.21,4.34,2.08,4.47,6.54
2008,Boston College,14,17,71.1,72.4,-1.29,7.75,3.31,3.15,6.46
2008,Akron,24,11,70.8,63.8,7.03,0.33,1.88,4.36,6.24
2008,Bradley,21,17,73.8,71.7,2.13,4.25,8.86,-2.64,6.23
2008,George Mason,23,11,69.3,62.5,6.82,-0.75,0.96,5.11,6.07
2008,Miami OH,17,16,62.5,60.6,1.91,3.82,-3.85,9.58,5.73
2008,Oral Roberts,24,9,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71
2008,Missouri St.,17,16,67.8,65.0,2.73,3.43,2.26,3.39,5.65
2008,Cal St. Fullerton,24,9,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64
2008,UCF,16,15,73.2,69.0,4.19,3.16,4.8,0.81,5.61
2008,New Mexico St.,21,14,79.8,72.2,7.57,-1.31,7.89,-2.46,5.43
2008,North Carolina St.,15,16,67.3,69.7,-2.39,9.06,1.35,4.05,5.41
2008,San Diego St.,20,13,66.8,63.3,3.45,2.15,-0.3,5.51,5.21
2008,South Florida,12,19,68.8,68.9,-0.1,6.57,1.25,3.92,5.17
2008,IUPUI,26,7,76.1,64.6,11.45,-2.41,3.48,1.65,5.13
2008,LSU,13,18,68.7,69.2,-0.45,5.66,1.94,3.05,4.99
2008,Cincinnati,13,19,64.6,67.8,-3.16,8.51,-0.43,5.29,4.86
2008,Seton Hall,17,15,76.6,77.3,-0.63,5.47,10.56,-5.72,4.84
2008,UTEP,19,14,76.6,73.2,3.39,1.54,8.62,-3.83,4.79
2008,Penn St.,15,16,65.1,66.7,-1.55,6.12,1.74,2.83,4.57
2008,DePaul,11,19,72.6,75.8,-3.2,8.73,6.25,-1.94,4.31
2008,Northern Iowa,18,14,62.4,60.3,2.03,3.61,-4.21,8.49,4.28
2008,Siena,23,11,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06
2008,Colorado,12,20,62.4,64.4,-2.0,6.76,-3.29,7.35,4.05
2008,Iowa St.,14,18,64.0,65.6,-1.63,7.97,-0.98,4.95,3.97
2008,Ohio,20,13,67.7,65.1,2.64,1.3,0.44,3.5,3.94
2008,Nevada,21,12,75.4,70.6,4.79,-0.11,4.41,-0.49,3.92
2008,Southern Miss,19,14,72.4,66.7,5.64,1.81,0.91,2.86,3.77
2008,Winthrop,22,12,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61
2008,San Diego,22,14,65.7,63.8,1.92,1.45,-3.71,7.1,3.39
2008,Cleveland St.,21,13,67.1,63.6,3.53,1.69,-1.46,4.83,3.38
2008,Western Michigan,20,12,69.7,65.0,4.72,-0.51,1.31,1.89,3.2
2008,Michigan,10,22,62.7,67.6,-4.94,7.99,-0.12,3.18,3.05
2008,Illinois Chicago,18,15,68.1,64.9,3.12,0.64,1.45,1.59,3.04
2008,St. John's,11,19,62.1,66.5,-4.37,7.3,-4.0,6.94,2.94
2008,Iowa,13,19,56.1,58.0,-1.97,5.23,-8.98,11.76,2.77
2008,Old Dominion,18,16,66.6,64.4,2.18,0.28,-0.96,3.41,2.45
2008,Wright St.,21,10,62.7,60.4,2.35,0.48,-5.18,7.56,2.38
2008,Valparaiso,22,14,71.1,67.9,3.17,1.29,2.89,-0.54,2.35
2008,Auburn,14,16,71.4,72.8,-1.4,4.7,3.41,-1.1,2.31
2008,Marshall,16,14,67.3,65.7,1.57,2.17,-0.25,2.42,2.17
2008,UNC Greensboro,19,12,70.8,66.5,4.29,-1.41,-0.15,2.12,1.97
2008,Rider,23,11,76.8,70.6,6.18,-3.72,5.8,-3.94,1.86
2008,Portland St.,23,10,73.9,68.0,5.85,-3.01,4.11,-2.38,1.72
2008,Utah St.,24,11,73.9,68.1,5.71,-2.58,2.31,-0.6,1.71
2008,Boise St.,25,9,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6
2008,North Texas,20,11,76.9,70.5,6.48,-2.72,4.08,-2.54,1.53
2008,Indiana St.,15,16,65.1,66.6,-1.48,4.11,-0.04,1.52,1.48
2008,Stephen F. Austin,26,6,67.2,56.4,10.81,-6.17,-7.16,8.59,1.42
2008,Cal St. Northridge,20,10,78.0,71.1,6.93,-2.81,5.94,-4.71,1.23
2008,UC Santa Barbara,23,9,69.8,64.5,5.28,-3.16,-2.21,3.39,1.17
2008,Wichita St.,11,20,62.5,64.4,-1.81,2.85,-4.23,5.27,1.04
2008,Cornell,22,6,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76
2008,Air Force,16,14,58.7,57.2,1.5,0.19,-10.66,11.09,0.44
2008,Tulane,17,15,65.7,66.4,-0.69,2.15,-3.0,3.41,0.41
2008,Saint Louis,16,15,60.1,61.6,-1.52,3.05,-8.34,8.65,0.31
2008,Richmond,16,15,63.7,66.0,-2.32,2.55,-4.93,5.16,0.22
2008,Pacific,21,10,72.2,66.4,5.77,-4.22,0.51,-0.42,0.09
2008,UMBC,24,9,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06
2008,Green Bay,15,15,69.0,70.0,-0.97,1.53,1.27,-1.31,-0.04
2008,Georgia Southern,20,12,75.0,71.4,3.56,-2.17,3.96,-4.04,-0.07
2008,Robert Morris,26,8,75.0,68.5,6.5,-6.57,2.38,-2.45,-0.07
2008,Belmont,25,9,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12
2008,Fordham,12,17,64.8,67.1,-2.31,4.32,-4.35,4.19,-0.16
2008,Niagara,19,10,76.5,73.1,3.45,-3.61,5.37,-5.53,-0.16
2008,Oakland,17,14,76.4,73.6,2.77,-0.81,7.16,-7.33,-0.17
2008,La Salle,15,17,75.8,76.2,-0.47,2.08,5.4,-5.58,-0.19
2008,Sam Houston St.,23,8,70.7,61.6,9.13,-5.25,-2.82,2.57,-0.25
2008,Brown,19,10,68.9,64.9,4.0,-4.65,-2.71,2.06,-0.65
2008,Marist,18,14,69.9,68.8,1.16,-1.83,-0.51,-0.17,-0.68
2008,Appalachian St.,18,13,71.4,69.3,2.16,-2.77,0.59,-1.3,-0.71
2008,Northern Arizona,21,11,72.9,68.6,4.34,-3.81,0.94,-1.66,-0.71
2008,Santa Clara,15,16,63.0,61.4,1.61,-0.98,-7.21,6.44,-0.77
2008,TCU,14,16,67.9,67.8,0.1,-0.37,-0.25,-0.68,-0.92
2008,Milwaukee,14,16,66.9,68.7,-1.83,2.19,-0.13,-0.86,-0.99
2008,UC Irvine,18,16,68.0,65.8,2.18,-2.41,-2.86,1.66,-1.2
2008,Chattanooga,18,13,75.6,72.9,2.71,-1.12,4.62,-5.84,-1.22
2008,Northwestern,8,22,61.8,67.9,-6.13,6.15,-3.52,2.22,-1.3
2008,Northeastern,14,17,63.4,63.6,-0.26,-1.1,-5.07,3.71,-1.36
2008,Rutgers,11,20,62.2,68.5,-6.29,7.07,-5.54,3.97,-1.57
2008,George Washington,9,17,63.4,68.3,-4.85,3.15,-4.3,2.6,-1.7
2008,American,21,12,64.8,62.1,2.76,-4.0,-4.6,2.73,-1.87
2008,UNC Wilmington,20,13,72.6,71.4,1.24,-2.42,3.88,-5.76,-1.89
2008,Austin Peay,24,11,74.0,70.8,3.23,-5.24,1.36,-3.57,-2.21
2008,Charleston,16,17,72.5,72.4,0.09,-2.31,1.88,-4.1,-2.22
2008,Lamar,19,11,81.5,73.5,7.97,-4.1,6.88,-9.28,-2.41
2008,UNC Asheville,23,10,75.1,70.2,4.88,-4.41,1.33,-3.88,-2.55
2008,Holy Cross,15,14,61.4,60.5,0.93,-3.6,-8.6,5.93,-2.67
2008,Middle Tennessee,17,15,68.1,69.3,-1.13,-0.23,-3.52,0.75,-2.78
2008,Loyola MD,19,14,71.7,70.8,0.88,-3.2,0.96,-3.81,-2.85
2008,UT Arlington,21,12,73.4,68.9,4.48,-4.62,1.13,-4.0,-2.87
2008,Fresno St.,13,19,68.8,69.3,-0.56,-0.91,-1.93,-1.05,-2.99
2008,New Orleans,19,13,73.5,71.5,2.03,-3.56,2.54,-5.59,-3.06
2008,Eastern Michigan,14,17,66.3,67.6,-1.35,-1.82,-3.64,0.46,-3.18
2008,Central Michigan,14,17,71.2,72.4,-1.16,0.19,2.01,-5.23,-3.22
2008,Little Rock,20,11,65.3,61.9,3.35,-4.26,-7.37,4.12,-3.26
2008,Mount St. Mary's,19,15,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59
2008,Louisiana,15,15,65.0,65.8,-0.8,-2.1,-6.34,2.67,-3.67
2008,Buffalo,10,20,71.5,75.0,-3.5,0.61,3.53,-7.43,-3.9
2008,Weber St.,16,14,66.4,65.7,0.77,-3.5,-5.4,1.48,-3.92
2008,Wyoming,12,18,69.0,72.4,-3.33,1.86,1.42,-5.35,-3.92
2008,Gardner Webb,16,16,77.0,75.5,1.56,-3.66,3.77,-7.78,-4.01
2008,Albany,15,15,68.3,66.4,1.87,-5.92,-3.21,-0.84,-4.05
2008,William & Mary,17,16,62.4,62.8,-0.42,-1.38,-7.39,3.31,-4.08
2008,Loyola Chicago,12,19,61.3,63.7,-2.45,0.55,-7.2,3.06,-4.14
2008,Vermont,16,15,72.3,70.1,2.19,-5.77,-0.22,-3.95,-4.17
2008,Montana,14,16,69.4,66.6,2.77,-4.0,-1.81,-2.42,-4.23
2008,East Tennessee St.,19,13,78.6,77.2,1.38,-1.89,5.34,-9.58,-4.24
2008,Morgan St.,22,11,67.5,62.4,5.09,-8.6,-4.31,0.06,-4.25
2008,East Carolina,11,19,68.3,72.7,-4.43,2.84,-0.05,-4.23,-4.28
2008,Murray St.,18,13,73.0,69.1,3.9,-6.97,-1.84,-2.58,-4.42
2008,Lafayette,15,15,74.9,74.0,0.93,-4.68,5.51,-10.08,-4.57
2008,Evansville,9,21,59.5,65.5,-6.03,2.07,-6.78,2.16,-4.62
2008,Elon,14,19,62.8,65.3,-2.48,-1.91,-7.96,3.25,-4.71
2008,Lipscomb,15,16,71.5,70.2,1.32,-4.88,-0.32,-4.64,-4.97
2008,Bowling Green,13,17,63.5,67.9,-4.47,-0.63,-4.86,-0.23,-5.09
2008,High Point,17,14,71.0,62.7,8.29,-6.41,-5.94,0.84,-5.1
2008,James Madison,13,17,72.9,74.0,-1.03,-4.09,2.42,-7.55,-5.13
2008,Purdue Fort Wayne,13,18,68.9,70.0,-1.16,0.96,-3.16,-2.09,-5.25
2008,Central Connecticut,14,16,69.8,68.5,1.37,-6.68,-3.89,-1.42,-5.31
2008,Hawaii,11,19,70.4,73.3,-2.9,-2.42,0.21,-5.53,-5.32
2008,St. Bonaventure,8,22,66.4,72.4,-5.97,1.08,-2.16,-3.17,-5.33
2008,Hampton,18,12,65.2,62.6,2.53,-8.03,-6.3,0.74,-5.57
2008,Toledo,11,19,59.8,66.9,-7.13,1.55,-8.66,3.07,-5.58
2008,Ball St.,6,24,57.8,63.9,-6.17,0.5,-9.68,4.08,-5.61
2008,Colgate,18,14,65.5,64.9,0.59,-5.06,-6.84,1.21,-5.63
2008,Florida Atlantic,15,18,71.7,74.1,-2.45,-2.38,2.0,-7.64,-5.64
2008,Fairfield,14,16,65.7,68.9,-3.17,-2.51,-4.57,-1.1,-5.67
2008,Youngstown St.,9,21,64.8,70.0,-5.2,1.74,-3.14,-2.62,-5.76
2008,Wofford,16,16,67.1,66.8,0.34,-1.42,-4.29,-1.48,-5.77
2008,Southeastern Louisiana,17,13,67.7,62.4,5.27,-5.53,-8.39,2.61,-5.78
2008,Delaware,14,17,63.1,66.5,-3.39,-2.43,-5.24,-0.58,-5.82
2008,Navy,16,14,76.3,73.6,2.7,-7.68,5.27,-11.15,-5.88
2008,Sacred Heart,18,14,71.9,71.5,0.41,-6.3,-0.1,-5.8,-5.9
2008,Hofstra,12,18,66.3,69.2,-2.93,-3.0,-2.68,-3.25,-5.93
2008,LIU,15,15,72.4,71.7,0.7,-6.72,-0.07,-5.95,-6.02
2008,Liberty,16,16,69.4,66.7,2.78,-5.96,-5.02,-1.08,-6.1
2008,Denver,11,19,56.6,60.4,-3.77,-2.22,-14.23,8.09,-6.14
2008,Oregon St.,6,25,59.9,70.8,-10.9,7.34,-5.99,-0.21,-6.2
2008,Southern Utah,11,19,69.1,73.1,-4.07,-2.02,-3.19,-3.16,-6.35
2008,Detroit Mercy,7,23,58.8,65.4,-6.57,1.0,-8.32,1.94,-6.38
2008,Yale,13,15,68.5,69.3,-0.75,-3.88,-2.83,-3.71,-6.54
2008,Boston University,14,17,63.0,64.8,-1.77,-4.91,-8.35,1.66,-6.69
2008,Iona,12,20,65.6,69.0,-3.44,-3.27,-6.07,-0.64,-6.71
2008,Montana St.,15,15,72.7,72.2,0.43,-4.85,0.24,-7.06,-6.82
2008,Binghamton,14,16,65.9,66.7,-0.83,-6.0,-6.52,-0.32,-6.84
2008,Bucknell,12,19,62.1,65.3,-3.16,-3.88,-8.24,1.36,-6.88
2008,Tennessee St.,15,17,75.1,75.6,-0.47,-5.65,1.97,-8.93,-6.95
2008,UMKC,11,21,68.7,74.5,-5.81,-0.37,-0.93,-6.03,-6.97
2008,Wagner,23,8,71.5,70.9,0.61,-7.62,-1.66,-5.34,-7.01
2008,San Francisco,10,21,66.7,71.9,-5.16,-0.95,-2.72,-4.3,-7.02
2008,Troy,12,19,76.3,80.5,-4.23,-1.99,4.86,-11.89,-7.03
2008,Northern Colorado,13,16,69.1,70.2,-1.14,-4.71,-1.03,-6.01,-7.05
2008,Colorado St.,7,25,64.1,72.4,-8.34,2.8,-3.79,-3.31,-7.09
2008,FIU,9,20,64.0,69.8,-5.86,0.22,-7.38,0.29,-7.09
2008,Towson,13,18,65.4,68.8,-3.42,-2.83,-4.21,-2.88,-7.1
2008,Eastern Washington,11,19,63.2,67.1,-3.83,-2.06,-7.16,-0.22,-7.38
2008,Georgia St.,9,21,61.6,66.2,-4.67,-2.97,-7.59,-0.01,-7.6
2008,Drexel,12,20,59.5,64.5,-5.0,-1.85,-10.28,2.65,-7.63
2008,Alabama St.,20,11,71.0,65.0,6.0,-12.7,-4.64,-3.1,-7.73
2008,Lehigh,14,15,63.8,65.3,-1.55,-5.82,-6.58,-1.17,-7.74
2008,Arkansas St.,10,20,70.6,72.8,-2.23,-2.02,-0.65,-7.1,-7.75
2008,Tennessee Tech,13,19,75.3,74.7,0.66,-6.87,0.12,-8.07,-7.95
2008,Manhattan,12,19,69.3,71.2,-1.9,-4.61,-2.12,-5.86,-7.98
2008,Pepperdine,11,21,73.9,79.7,-5.81,-0.06,3.55,-11.55,-8.0
2008,Quinnipiac,15,15,74.2,75.1,-0.93,-7.08,2.0,-10.01,-8.01
2008,Jacksonville,18,13,72.5,72.9,-0.39,-3.61,-1.42,-6.67,-8.09
2008,Western Carolina,10,21,63.8,69.0,-5.19,-1.2,-7.23,-0.94,-8.16
2008,Tennessee Martin,17,16,77.6,77.3,0.27,-6.37,3.44,-11.68,-8.24
2008,Louisiana Monroe,10,21,68.0,72.4,-4.35,-0.39,-1.36,-6.92,-8.28
2008,SMU,10,20,63.9,71.4,-7.5,0.92,-6.26,-2.15,-8.41
2008,Columbia,14,15,63.7,64.1,-0.45,-5.79,-9.44,0.99,-8.45
2008,Army,14,16,59.0,62.1,-3.07,-5.04,-12.16,3.54,-8.62
2008,Portland,9,22,63.1,68.9,-5.74,-1.24,-7.0,-1.61,-8.62
2008,Hartford,18,16,70.8,74.3,-3.47,-5.28,-0.54,-8.21,-8.75
2008,Nicholls St.,10,21,64.7,69.8,-5.06,-1.13,-8.87,-0.3,-9.17
2008,San Jose St.,13,19,66.8,72.1,-5.34,-1.66,-4.53,-4.67,-9.2
2008,Texas A&M Corpus Chris,9,20,64.0,70.0,-5.97,-2.82,-7.7,-1.51,-9.21
2008,Northern Illinois,6,22,65.7,75.4,-9.68,0.38,-1.48,-7.82,-9.3
2008,McNeese St.,13,16,64.7,66.6,-1.93,-3.59,-7.06,-2.37,-9.43
2008,Cal Poly,12,18,63.2,69.0,-5.83,-2.08,-7.03,-2.45,-9.48
2008,VMI,14,15,91.3,87.2,4.1,-7.32,12.92,-22.4,-9.48
2008,Eastern Kentucky,14,16,63.0,64.4,-1.43,-6.34,-11.28,1.58,-9.7
2008,Texas St.,13,16,83.6,84.8,-1.24,-5.35,11.16,-20.97,-9.8
2008,Mercer,11,19,76.2,78.5,-2.3,-5.68,2.38,-12.19,-9.81
2008,New Hampshire,9,20,67.6,69.6,-1.93,-6.11,-5.22,-4.63,-9.86
2008,Saint Peter's,6,24,66.7,72.6,-5.9,-4.11,-5.43,-4.58,-10.01
2008,Rice,3,27,55.9,69.0,-13.07,2.78,-12.89,2.6,-10.29
2008,Penn,13,18,67.6,74.5,-6.84,-3.75,-2.36,-8.05,-10.4
2008,UTSA,13,17,63.4,67.1,-3.67,-2.95,-10.12,-0.32,-10.43
2008,Western Illinois,12,18,67.2,71.6,-4.4,-1.67,-6.13,-4.32,-10.45
2008,UT Rio Grande Valley,18,13,73.7,70.7,2.97,-6.94,-3.51,-7.0,-10.51
2008,Chicago St.,11,17,73.2,79.3,-6.11,1.47,0.32,-10.94,-10.63
2008,UC Riverside,9,21,60.1,67.6,-7.53,-2.02,-10.91,0.18,-10.73
2008,Idaho,8,21,64.8,71.6,-6.83,-1.04,-6.59,-4.16,-10.75
2008,Harvard,8,22,68.5,74.4,-5.9,-4.86,-1.92,-8.84,-10.76
2008,Northwestern St.,15,18,73.8,79.5,-5.67,-2.7,1.58,-12.68,-11.11
2008,Morehead St.,15,15,64.8,67.6,-2.77,-6.31,-10.12,-1.16,-11.27
2008,Princeton,6,23,57.7,64.2,-6.52,-4.05,-13.78,2.35,-11.42
2008,Stetson,16,16,65.3,68.3,-2.94,-5.67,-9.61,-1.81,-11.42
2008,Delaware St.,14,16,59.0,61.8,-2.8,-6.88,-14.06,2.55,-11.51
2008,Coastal Carolina,13,15,69.1,71.6,-2.43,-5.44,-5.89,-5.63,-11.52
2008,Campbell,10,20,71.5,74.6,-3.1,-6.62,-3.8,-8.12,-11.91
2008,Samford,14,16,59.7,61.8,-2.1,-7.19,-16.19,4.22,-11.97
2008,Idaho St.,12,19,59.9,68.7,-8.84,-2.14,-10.9,-1.1,-12.0
2008,Stony Brook,7,23,61.2,66.6,-5.37,-6.5,-11.11,-1.25,-12.36
2008,St. Francis NY,7,22,67.3,73.7,-6.34,-6.29,-5.38,-7.26,-12.64
2008,Furman,7,23,61.2,71.4,-10.17,-2.39,-9.25,-3.48,-12.73
2008,Long Beach St.,6,25,62.7,72.3,-9.61,-2.92,-8.88,-4.0,-12.89
2008,Monmouth,7,24,59.2,67.1,-7.9,-5.22,-13.78,0.66,-13.13
2008,Fairleigh Dickinson,8,20,70.0,78.2,-8.14,-5.12,-2.03,-11.24,-13.27
2008,St. Francis PA,6,23,63.7,71.2,-7.52,-5.27,-8.67,-4.85,-13.52
2008,Norfolk St.,16,15,69.6,70.6,-1.0,-11.97,-4.32,-9.33,-13.65
2008,Southeast Missouri St.,12,19,76.6,82.2,-5.65,-6.99,4.38,-18.16,-13.78
2008,Canisius,6,25,62.0,73.2,-11.16,-3.14,-9.78,-4.52,-14.3
2008,Coppin St.,16,21,59.8,66.0,-6.24,-6.2,-12.38,-2.13,-14.51
2008,Dartmouth,10,18,63.2,69.0,-5.86,-7.19,-9.99,-4.57,-14.56
2008,North Carolina A&T,15,16,69.8,71.9,-2.1,-6.48,-4.81,-9.75,-14.56
2008,Eastern Illinois,7,22,63.2,69.0,-5.76,-7.97,-10.52,-4.2,-14.72
2008,Radford,10,20,70.9,79.3,-8.33,-3.15,-2.43,-12.29,-14.72
2008,UC Davis,9,22,63.3,71.5,-8.16,-2.68,-8.98,-6.04,-15.02
2008,Charleston Southern,10,20,74.2,76.9,-2.73,-4.63,-1.91,-13.31,-15.23
2008,Mississippi Valley St.,17,16,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28
2008,Jacksonville St.,7,22,72.3,77.6,-5.28,-8.59,-3.96,-11.38,-15.34
2008,Louisiana Tech,6,24,60.8,71.8,-11.03,-4.35,-11.09,-4.33,-15.42
2008,Florida A&M,15,17,64.5,70.3,-5.72,-7.18,-8.09,-7.36,-15.45
2008,South Carolina St.,13,20,70.6,75.8,-5.15,-9.23,-3.02,-12.88,-15.9
2008,Bethune Cookman,11,21,58.2,61.8,-3.56,-10.89,-16.18,0.21,-15.97
2008,Southern,11,19,62.8,66.8,-4.03,-11.16,-13.52,-2.53,-16.05
2008,Alabama A&M,14,15,65.9,67.3,-1.45,-12.97,-11.25,-4.89,-16.14
2008,Jackson St.,14,20,68.8,74.2,-5.35,-10.78,-4.45,-11.69,-16.14
2008,Maine,7,23,63.7,71.9,-8.17,-4.89,-8.59,-7.65,-16.25
2008,Loyola Marymount,5,26,61.9,78.5,-16.68,-0.05,-7.39,-9.56,-16.94
2008,The Citadel,6,24,63.4,74.3,-10.83,-1.14,-9.79,-7.2,-16.99
